city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga
Jakarta Pusat,534,706,3,2,0,1993,HGB,Baru,-6.384704730731535,106.69157913521055,7566630457
Bogor,399,606,7,6,3,2021,SHM,Sedang,-6.2272794896386685,106.7579715240134,3556518487
Jakarta Utara,234,257,5,4,2,1998,HGB,Bagus,-6.274967682476218,106.74198910152947,2552769936
Jakarta Barat,448,546,2,1,2,2019,SHM,Butuh Renovasi,-6.413844832765352,106.84073421078202,4819807264
Tangerang,374,512,5,4,0,1982,SHM,Butuh Renovasi,-6.380823276608135,106.81750425825382,3147688156
Bogor,464,637,1,1,1,1987,SHM,Bagus,-6.282128815330165,106.91329203962246,3221057856
Jakarta Pusat,174,202,4,4,0,2008,SHM,Butuh Renovasi,-6.139343853248399,106.75757309201437,2381924939
Bekasi,577,719,2,1,1,2016,HGB,Butuh Renovasi,-6.251763247779116,106.87023947703993,4386269382
Jakarta Selatan,92,133,3,2,3,2022,SHM,Bagus,-6.211462749927035,106.96283432435199,1663540733
Jakarta Pusat,267,565,7,7,2,1988,SHM,Bagus,-6.331340007589632,106.97141687677386,4863111224
Bogor,470,677,1,1,2,1998,HGB,Sedang,-6.250006012434518,106.98681107351202,3590517218
Jakarta Pusat,419,610,1,1,0,1991,HGB,Bagus,-6.293417062076676,106.9274435686656,6054792695
Bogor,595,754,5,4,0,2006,SHM,Bagus,-6.219304530581893,106.96991613000286,4276636589
Bogor,229,292,1,1,3,2016,Girik,Baru,-6.432298551872346,106.7550498790353,1879757021
Depok,569,811,2,1,3,2004,SHM,Bagus,-6.277344924316364,106.74322590219217,4427689971
Jakarta Utara,553,810,5,4,1,2017,HGB,Butuh Renovasi,-6.346402581199611,106.68207618680978,6115957287
Tangerang,220,371,1,1,3,1996,SHM,Baru,-6.335835228552732,106.90619019437732,2091194613
Depok,327,541,7,7,3,2023,HGB,Sedang,-6.113678898954678,106.9799895001004,3155045008
Bekasi,370,535,3,2,3,2012,SHM,Bagus,-6.386056815551016,106.73981931041334,3053579779
Depok,151,181,7,6,3,2018,SHM,Sedang,-6.341064161597491,106.8838219441366,1713848163
Jakarta Timur,84,315,6,6,1,1993,HGB,Sedang,-6.271537598494195,106.91886712295097,1760814557
Jakarta Timur,117,398,2,2,3,2007,HGB,Baru,-6.147940568147631,106.97683655524737,2388918734
Tangerang,368,396,3,3,1,1997,HGB,Bagus,-6.30416547087777,106.8869952716855,3105904809
Jakarta Pusat,592,786,3,3,0,2012,HGB,Sedang,-6.18964715168914,106.9904939944796,8196166813
Jakarta Utara,370,625,5,4,2,2021,SHM,Bagus,-6.150269065624819,106.79029540512401,4358074507
Tangerang,567,847,4,4,0,1994,SHM,Sedang,-6.3414942754623524,106.79197713080686,4828733990
Bogor,256,549,5,5,3,1990,HGB,Sedang,-6.312537435761452,106.85376400320459,2268944155
Jakarta Barat,358,444,2,1,2,2015,HGB,Bagus,-6.325205321709075,106.80272060195709,4068981717
Jakarta Utara,38,186,2,2,3,1994,SHM,Butuh Renovasi,-6.158500466983727,106.68045623305201,809275742
Jakarta Utara,241,489,5,5,3,2009,SHM,Bagus,-6.43447859831624,106.91416704802783,3107277516
Bogor,75,357,4,3,0,1994,SHM,Bagus,-6.342052618909962,106.92054945327311,1347351174
Bogor,94,291,7,6,3,2002,Girik,Baru,-6.212207004841704,106.91903187349976,1381417249
Jakarta Selatan,542,585,5,4,0,2022,SHM,Bagus,-6.25209477515213,106.79040661331535,7292439937
Tangerang,157,184,2,1,3,1994,SHM,Sedang,-6.297298724247207,106.84713263145957,1454287399
Bogor,514,530,4,3,1,2008,SHM,Bagus,-6.2610181204725155,106.79519152581653,3742505022
Jakarta Timur,131,257,2,1,2,1990,HGB,Sedang,-6.3808453949600885,106.68513164800981,1824636050
Bekasi,449,616,4,3,0,1997,HGB,Sedang,-6.299249182437197,106.85998366120685,3524057801
Jakarta Barat,270,513,4,4,0,2019,HGB,Bagus,-6.274403955538277,106.71960341314688,3663638263
Tangerang,97,172,5,5,2,2010,HGB,Bagus,-6.134583807315889,106.70561322370926,1101719708
Jakarta Timur,291,521,5,4,0,1988,SHM,Butuh Renovasi,-6.358707693018609,106.92175970198298,4006413187
Jakarta Pusat,596,799,5,5,2,2001,SHM,Butuh Renovasi,-6.146260024242273,106.6830419847738,8429385039
Bogor,383,630,4,3,1,1990,HGB,Bagus,-6.224515509710907,106.9868827019548,3249300151
Bogor,159,372,4,4,3,1996,SHM,Sedang,-6.44288070912634,106.84488171651603,1941875286
Jakarta Utara,517,731,2,1,1,2012,SHM,Bagus,-6.196379032085212,106.99456525782597,5297852546
Jakarta Timur,352,509,3,3,3,1990,HGB,Baru,-6.4375568428578305,106.69855922319127,3846976694
Jakarta Utara,539,607,5,4,2,2018,HGB,Sedang,-6.100916605615165,106.8667294556371,5361588883
Jakarta Selatan,83,167,6,6,1,1987,Girik,Bagus,-6.1445771593080805,106.7917846515123,1515048176
Jakarta Utara,444,710,2,1,3,1983,Girik,Baru,-6.345929688360984,106.94991439770057,4922334161
Jakarta Selatan,171,239,2,2,2,2015,SHM,Sedang,-6.359906069431153,106.79559127527497,2273363078
Jakarta Selatan,236,334,1,1,3,1998,HGB,Butuh Renovasi,-6.316495621263037,106.76335602529835,3322447694
Bogor,285,500,5,4,0,2003,SHM,Butuh Renovasi,-6.325341562139945,106.95441700067197,2680439503
Jakarta Pusat,349,509,7,7,0,2020,HGB,Bagus,-6.319681763565117,106.79988898932905,5299045531
Jakarta Utara,403,496,2,2,2,1997,SHM,Bagus,-6.338603208858182,106.68538666235538,4335647722
Jakarta Timur,464,637,1,1,3,2012,SHM,Baru,-6.232603307603084,106.8048925122686,5065079289
Jakarta Selatan,515,679,6,6,0,2015,HGB,Sedang,-6.392507717697781,106.88944712608351,7467370168
Bogor,349,463,6,6,1,1989,SHM,Butuh Renovasi,-6.153906547643895,106.76139505241805,2800421192
Jakarta Barat,535,754,7,6,3,1993,HGB,Sedang,-6.16565913058904,106.81823602957606,6997502192
Tangerang,390,420,5,4,3,1986,SHM,Sedang,-6.283230877250655,106.69814884425031,3377890710
Jakarta Pusat,520,530,4,4,0,1991,SHM,Baru,-6.151544512152508,106.86818969328446,6432409307
Depok,246,375,1,1,0,2001,SHM,Bagus,-6.363499225489397,106.92201437563533,2061851322
Jakarta Barat,79,183,4,4,2,2006,HGB,Bagus,-6.443852090503611,106.81226001964836,1408184857
Tangerang,576,602,6,5,3,2016,SHM,Sedang,-6.2332772262395615,106.81447444249648,4707735753
Jakarta Barat,127,353,6,6,1,1990,SHM,Baru,-6.28973170756235,106.70825039954718,2614083001
Jakarta Utara,300,301,3,3,0,2015,HGB,Bagus,-6.251492408796445,106.74462107664384,2941166337
Jakarta Selatan,255,355,3,3,3,1992,SHM,Baru,-6.135231206843558,106.72949609700093,3817386098
Jakarta Pusat,477,497,7,7,0,2011,SHM,Sedang,-6.110526049251919,106.8341400859717,6506202337
Bekasi,436,493,3,2,2,1987,HGB,Sedang,-6.2279414010855385,106.84936177310425,3085369005
Jakarta Selatan,435,614,3,2,3,1986,SHM,Bagus,-6.182580543551646,106.98366084201096,6432126100
Bekasi,525,544,7,6,3,2022,SHM,Sedang,-6.420667048279492,106.70343408136873,4161718783
Tangerang,520,774,2,2,2,2022,HGB,Bagus,-6.393749545287973,106.87195775140962,4395024592
Bogor,505,542,3,2,1,1996,HGB,Baru,-6.193378318266458,106.84847952874505,3431433713
Depok,480,627,2,1,0,2001,HGB,Bagus,-6.2990220902642,106.84519459133946,3565551498
Jakarta Timur,304,328,2,2,2,2013,Girik,Butuh Renovasi,-6.293912155358458,106.95941097196251,3102649072
Jakarta Selatan,302,422,5,5,3,1999,SHM,Bagus,-6.341987311427597,106.74577231062256,4544260153
Jakarta Pusat,89,114,2,2,2,1987,Girik,Baru,-6.2374252657827896,106.69304744778924,1354456715
Jakarta Barat,563,731,2,1,3,2001,Girik,Bagus,-6.385192234104329,106.89512688244294,6268656621
Jakarta Pusat,555,779,3,2,2,2006,HGB,Bagus,-6.230579302240137,106.79045038852352,8059536190
Tangerang,94,94,2,2,1,2013,SHM,Bagus,-6.389170400002667,106.68562877318801,864624942
Bekasi,75,335,4,3,3,2000,HGB,Bagus,-6.427660887851601,106.76043968233294,1491969468
Jakarta Barat,272,284,7,7,2,1994,SHM,Butuh Renovasi,-6.334374808955329,106.77898456774939,3164046530
Jakarta Timur,421,468,3,2,1,1984,HGB,Sedang,-6.369100880296553,106.87738828057095,4241336721
Jakarta Timur,335,625,7,7,1,2017,SHM,Baru,-6.138852926505283,106.73522745409578,4509470095
Jakarta Selatan,430,523,1,1,0,1996,HGB,Sedang,-6.43076629114598,106.81217739134509,5889018920
Tangerang,242,502,3,2,3,1987,HGB,Sedang,-6.388185207599057,106.83439214221372,2243188104
Bogor,371,648,2,1,0,1998,SHM,Sedang,-6.257948138045933,106.82695596523651,3024032958
Tangerang,549,753,4,4,1,1984,HGB,Bagus,-6.281626483203384,106.99166104533337,4773194249
Bekasi,213,397,7,7,0,2002,SHM,Bagus,-6.433951793568855,106.6945613560929,2094335137
Jakarta Pusat,431,605,3,3,0,1998,HGB,Sedang,-6.4474616501946995,106.98430981966477,6221478074
Jakarta Timur,406,474,4,3,2,1993,SHM,Sedang,-6.104176220313597,106.86621990847809,4364238753
Jakarta Pusat,353,456,7,7,0,1989,HGB,Bagus,-6.219407854874406,106.93463286879035,4996582821
Jakarta Pusat,404,649,1,1,1,2010,SHM,Baru,-6.3221078541844555,106.81772563776515,6062135503
Jakarta Pusat,419,579,6,6,0,1992,SHM,Sedang,-6.285348713317865,106.82522812200224,5983561197
Jakarta Timur,97,296,1,1,3,2001,SHM,Baru,-6.356707457841,106.96138447968507,1725019720
Jakarta Utara,540,755,6,5,2,2016,HGB,Baru,-6.329294175707377,106.9666990388134,5826011758
Bekasi,274,485,5,4,1,2018,HGB,Bagus,-6.222834436456125,106.75638044205802,2686600787
Bekasi,230,245,6,6,0,1989,SHM,Bagus,-6.14101587039642,106.74375740114708,2088273711
Jakarta Barat,257,461,5,5,3,2010,SHM,Bagus,-6.385554491921585,106.83879525563839,3492082157
Tangerang,96,134,3,2,1,2022,SHM,Bagus,-6.155873473115138,106.96808864868086,1097734024
Tangerang,164,252,5,4,0,2014,HGB,Baru,-6.407455179668606,106.78315362988998,1597155660
Depok,191,446,4,4,2,1992,HGB,Baru,-6.374752721744063,106.88864467690853,2079331619
Tangerang,413,666,5,4,0,2009,SHM,Baru,-6.4369886491826245,106.90660854007699,3771510330
Jakarta Timur,472,687,4,4,1,2013,SHM,Bagus,-6.40071584826745,106.92917589276612,5114448994
Bogor,242,413,7,7,1,2015,SHM,Baru,-6.128943899087582,106.86045582653472,2338753447
Jakarta Selatan,423,559,7,7,1,2014,HGB,Bagus,-6.289196438683567,106.80878565704927,6323606976
Depok,515,692,6,5,3,1983,SHM,Bagus,-6.4228169483775766,106.98944511641567,4288942559
Jakarta Selatan,375,451,6,6,0,1983,HGB,Baru,-6.114095606686363,106.87562584105692,5577378061
Bekasi,375,562,6,6,0,1985,SHM,Baru,-6.142352692284472,106.91314086772265,3501693169
Jakarta Selatan,239,253,5,4,0,2007,SHM,Sedang,-6.185861117696151,106.79039451062269,3516392209
Jakarta Selatan,196,487,6,5,2,2009,SHM,Bagus,-6.123284522818355,106.89438373792099,4016500740
Depok,575,788,5,4,3,2006,HGB,Sedang,-6.372954702707482,106.76249525189253,4657592137
Jakarta Barat,427,634,5,5,3,1984,HGB,Bagus,-6.15727074744647,106.75843101360917,5097676397
Jakarta Pusat,569,737,2,1,2,2023,SHM,Butuh Renovasi,-6.2085030812759925,106.90871110457901,7763025515
Tangerang,105,384,2,1,3,2018,SHM,Bagus,-6.145584262651309,106.84684631560414,1616838005
Tangerang,440,585,5,5,2,2014,SHM,Bagus,-6.1710809519900796,106.89864851533517,3906766734
Jakarta Timur,552,814,7,7,1,2018,HGB,Bagus,-6.328726727888111,106.7662203170394,6261373038
Depok,155,158,4,4,1,2023,HGB,Butuh Renovasi,-6.17896051204396,106.87159146913815,1226860812
Jakarta Timur,252,341,3,3,3,1994,SHM,Bagus,-6.358140293955288,106.822058767905,2647508161
Bogor,91,150,1,1,1,1998,SHM,Sedang,-6.334992742940181,106.87102729179057,669794190
Bogor,401,416,2,2,1,2009,HGB,Bagus,-6.412232998971959,106.77308151431815,2821695184
Jakarta Timur,539,765,5,4,1,2017,HGB,Sedang,-6.122723184406835,106.90894430836772,5920236259
Depok,490,518,1,1,0,2011,SHM,Sedang,-6.348148822809901,106.93789739717103,3682096725
Jakarta Timur,139,289,2,2,1,2019,HGB,Butuh Renovasi,-6.267782137189991,106.76317327163447,2067385372
Tangerang,112,356,3,2,0,2008,HGB,Sedang,-6.313033507236833,106.77619857915381,1617186172
Jakarta Utara,265,534,4,3,2,1985,SHM,Bagus,-6.1140251577957745,106.89156936631011,3652030419
Jakarta Selatan,293,371,5,4,2,2005,SHM,Bagus,-6.332732790171531,106.90258725577714,4311244935
Jakarta Utara,299,587,3,3,2,2006,SHM,Bagus,-6.177508962502059,106.90531189900719,3654371327
Depok,366,518,7,7,2,2014,HGB,Baru,-6.150604345879087,106.89846352152827,3208108651
Jakarta Utara,217,493,2,1,2,2007,HGB,Baru,-6.297537725881662,106.80569846942481,2683173212
Bogor,585,863,5,4,1,1984,Girik,Bagus,-6.317639864941474,106.80635317580918,4727910714
Bekasi,62,118,1,1,1,2020,SHM,Sedang,-6.18828896267358,106.7615416395662,572166713
Jakarta Selatan,311,496,7,6,1,1995,HGB,Baru,-6.1304864068928175,106.73018678396684,4962318984
Jakarta Pusat,334,426,7,6,2,2020,SHM,Bagus,-6.185773893424717,106.901624761407,4744768256
Depok,126,401,6,6,2,1997,SHM,Bagus,-6.370505772042847,106.70982041151115,1831736465
Jakarta Selatan,515,672,4,3,0,1992,HGB,Sedang,-6.139092288396803,106.98009353177177,7366343453
Jakarta Utara,493,767,7,7,3,2022,HGB,Baru,-6.314346416397108,106.94453961717487,5677084391
Bogor,486,666,2,2,1,2004,SHM,Bagus,-6.248319705877723,106.95440183678632,3547217558
Jakarta Barat,400,476,4,4,3,1989,Girik,Butuh Renovasi,-6.158997533247551,106.97013402067687,4583263902
Jakarta Pusat,386,536,5,4,2,2008,SHM,Bagus,-6.384061831409828,106.81075359063144,5442598637
Jakarta Selatan,435,672,6,5,2,1989,SHM,Sedang,-6.175421452512857,106.95094423147214,6870178713
Bogor,288,576,3,2,2,1985,SHM,Sedang,-6.241343020731263,106.73057961609334,2581520566
Bogor,494,724,4,3,3,1995,HGB,Baru,-6.137330425360337,106.68692537427464,3585501804
Jakarta Utara,534,551,1,1,0,2004,SHM,Butuh Renovasi,-6.38981035935476,106.93116524629244,4744504514
Tangerang,543,615,2,2,2,2023,SHM,Sedang,-6.302761217035675,106.70393492735903,4123602871
Jakarta Utara,339,527,1,1,0,1983,SHM,Baru,-6.1585049174966064,106.99632789354429,3915558965
Tangerang,536,552,4,3,0,2016,HGB,Bagus,-6.443268903790134,106.8959348574725,4165475608
Tangerang,201,219,6,5,1,2013,SHM,Bagus,-6.4107295216320255,106.92110390727747,1861048413
Jakarta Pusat,450,668,3,2,3,1998,SHM,Sedang,-6.103302175535142,106.75865723400892,6517354235
Jakarta Utara,497,616,3,3,2,2012,HGB,Baru,-6.351862037493377,106.89563692605431,4963147712
Jakarta Barat,149,249,1,1,0,1983,HGB,Sedang,-6.108559882196616,106.6938303799216,1677668032
Jakarta Timur,468,501,5,5,3,2023,SHM,Bagus,-6.386113957146964,106.94810423037555,4817588600
Jakarta Timur,391,474,5,4,3,2013,SHM,Sedang,-6.323616944947433,106.7342797097701,4502741405
Jakarta Utara,242,437,6,5,2,1991,HGB,Sedang,-6.18649569442375,106.90315458138681,2925282400
Jakarta Utara,270,471,3,2,1,2010,SHM,Bagus,-6.219777557466637,106.75183376039448,3125035804
Jakarta Pusat,477,487,1,1,1,1995,HGB,Bagus,-6.246607160024831,106.70190501421634,6054978059
Jakarta Utara,390,607,1,1,0,1981,SHM,Sedang,-6.264535288468247,106.8340779771358,4349521171
Tangerang,550,802,1,1,1,1981,SHM,Bagus,-6.1547958447173405,106.73417158728729,4536718921
Bogor,243,464,4,4,1,2015,SHM,Sedang,-6.367768003008313,106.9134220762645,2399543013
Bogor,160,239,6,5,1,1985,Girik,Baru,-6.295135175552269,106.75602106988272,1438695456
Tangerang,173,179,5,5,3,2002,HGB,Sedang,-6.39559169774524,106.78959121799546,1427611062
Depok,374,645,5,5,2,2018,HGB,Sedang,-6.241420441494253,106.86158056040463,3668996798
Tangerang,572,798,4,4,3,2023,SHM,Bagus,-6.362309451505038,106.77118984882475,4964594102
Jakarta Barat,103,118,2,1,3,2016,HGB,Sedang,-6.333155277479815,106.80095619718719,1234020780
Bekasi,576,587,4,4,2,1995,SHM,Bagus,-6.285062249181765,106.94099896673292,4198974460
Jakarta Selatan,418,708,6,6,3,2022,HGB,Butuh Renovasi,-6.440630295003905,106.73734715185954,6729311370
Tangerang,54,294,1,1,0,2023,SHM,Baru,-6.417821722427707,106.70630450863422,930514461
Jakarta Utara,485,505,4,3,0,1998,HGB,Baru,-6.209924772752123,106.78507449124257,4840535274
Jakarta Utara,109,286,1,1,3,2003,HGB,Sedang,-6.299860506748872,106.81580056544445,1930869899
Jakarta Pusat,311,538,6,6,1,2006,SHM,Sedang,-6.147323422300036,106.85365097028371,4861024483
Tangerang,83,355,7,7,3,1986,SHM,Bagus,-6.20686479872453,106.799175582776,1631996214
Jakarta Pusat,246,533,6,6,1,2009,SHM,Butuh Renovasi,-6.4471646704234375,106.9327717440713,4481908239
Tangerang,575,871,3,2,3,2020,SHM,Sedang,-6.234150684231503,106.69258223605392,5120504079
Jakarta Selatan,226,359,1,1,0,1993,SHM,Butuh Renovasi,-6.4171962968791,106.81816561222354,3313642152
Bekasi,350,632,5,5,1,2023,HGB,Bagus,-6.176673387073326,106.80232189269006,3374566075
Bogor,598,750,4,3,0,1994,SHM,Baru,-6.102972309102524,106.8872251170582,4395498350
Jakarta Timur,597,662,7,7,3,1991,HGB,Bagus,-6.26408042201547,106.98920840060717,6413946767
Tangerang,148,284,6,5,2,2008,SHM,Butuh Renovasi,-6.211027174932054,106.84332013012124,1864869623
Bekasi,205,296,1,1,1,2002,SHM,Bagus,-6.366940043686837,106.99580059102135,1680684896
Bogor,503,761,7,7,1,1992,SHM,Butuh Renovasi,-6.296840789686172,106.77671980637223,4239283379
Depok,49,151,2,2,3,1988,SHM,Sedang,-6.150366633717265,106.68987780241359,831859939
Jakarta Selatan,323,377,3,3,3,2003,HGB,Bagus,-6.391401968288812,106.73301221359246,4314018732
Jakarta Pusat,224,480,2,2,1,2018,SHM,Bagus,-6.3570625380351835,106.80643996312787,3666873581
Jakarta Pusat,190,290,6,5,2,2009,HGB,Bagus,-6.29409821364989,106.78122685094034,3119786213
Jakarta Utara,506,703,2,1,3,1980,SHM,Sedang,-6.2007128878545945,106.71105732191468,5527872771
Bogor,110,335,2,2,3,1989,Girik,Baru,-6.3184406158215145,106.81845123446104,1422406818
Depok,312,548,3,2,3,2017,HGB,Butuh Renovasi,-6.125293702075949,106.78819704693106,2965247354
Bekasi,378,403,3,2,2,1994,SHM,Bagus,-6.416940032055948,106.71923815054639,2658886590
Jakarta Selatan,460,580,3,3,1,1988,SHM,Butuh Renovasi,-6.320218530859304,106.77475748179582,6490101452
Bogor,546,727,7,7,0,1992,SHM,Bagus,-6.2018660568000525,106.96365953771372,4341215989
Depok,217,415,3,2,3,2002,HGB,Bagus,-6.370904632018478,106.77665563695659,2217121725
Jakarta Timur,493,747,2,2,2,2012,SHM,Bagus,-6.220255403019614,106.90846573543746,5634646348
Tangerang,99,220,5,5,1,1988,HGB,Sedang,-6.392524064620429,106.87585506549048,1372318813
Jakarta Pusat,295,325,5,4,1,1982,SHM,Bagus,-6.43040690029841,106.81669797197068,4019731188
Bekasi,228,512,3,2,2,2009,SHM,Butuh Renovasi,-6.407644499137973,106.75648820377718,2564180759
Jakarta Pusat,441,546,7,7,3,1988,SHM,Bagus,-6.124505325903052,106.7980847037907,6257268132
Bekasi,128,351,4,3,0,2004,SHM,Butuh Renovasi,-6.256887190971157,106.86947430831074,1561137867
Jakarta Utara,465,737,1,1,3,2003,HGB,Sedang,-6.171278978582123,106.7922410287198,4983895700
Bekasi,469,700,6,6,1,2011,SHM,Sedang,-6.333570924683232,106.74876685874376,4197658776
Jakarta Pusat,439,694,7,6,0,1986,HGB,Bagus,-6.242569473240094,106.71726807964532,6575537145
Bekasi,469,492,4,3,3,2015,HGB,Bagus,-6.276766753203253,106.96152542013107,3543121754
Jakarta Timur,147,255,6,6,0,2004,SHM,Sedang,-6.118991714209197,106.82090015224061,2149493409
Jakarta Utara,410,600,4,4,2,1999,SHM,Bagus,-6.1883488773810615,106.88006666295774,4788400374
Bekasi,94,118,4,4,3,1996,SHM,Sedang,-6.194310078976197,106.83693131556377,1012494413
Bogor,78,264,5,4,1,2015,HGB,Sedang,-6.4337763556980025,106.95922128587455,1370693831
Jakarta Barat,242,529,1,1,1,2005,SHM,Bagus,-6.257615615848708,106.85501915278343,3427007958
Depok,331,446,4,3,0,1998,SHM,Bagus,-6.286552991134364,106.83385005374372,2608935976
Jakarta Barat,153,189,3,3,2,2016,SHM,Baru,-6.125255206687831,106.97587231693495,2258463245
Jakarta Barat,567,848,6,5,3,1982,SHM,Baru,-6.3599303041336634,106.91030067073451,6747887013
Jakarta Selatan,257,393,7,7,2,2022,Girik,Butuh Renovasi,-6.3555582913481175,106.715695970351,4657598655
Jakarta Timur,201,427,5,4,2,2007,HGB,Sedang,-6.3060288128914745,106.73686542758298,3165605038
Bogor,191,372,6,6,0,2001,SHM,Baru,-6.364820600307769,106.93187931614062,1797179633
Tangerang,219,304,3,3,0,1998,HGB,Sedang,-6.404785628766938,106.94747242277758,2028277207
Bekasi,125,177,3,3,3,1995,HGB,Baru,-6.14990480367222,106.8544610653089,991086868
Depok,129,363,4,4,1,1985,SHM,Bagus,-6.254603216458629,106.85742567291733,1716204845
Jakarta Utara,48,314,3,2,3,2016,HGB,Baru,-6.148523048365202,106.88221854811246,1518314926
Bogor,473,759,1,1,2,2010,SHM,Butuh Renovasi,-6.159102832108706,106.82051704777045,3820471125
Jakarta Pusat,573,672,3,2,0,2013,HGB,Butuh Renovasi,-6.351285175823615,106.89766371951485,7452303298
Tangerang,185,271,4,3,2,2010,HGB,Bagus,-6.258291894486504,106.71471400242126,1822253681
Jakarta Selatan,43,57,6,5,0,1990,Girik,Bagus,-6.420873804040975,106.98760935755756,972041200
Jakarta Selatan,64,164,3,3,1,2015,SHM,Bagus,-6.129661840589234,106.92004954361438,1333130536
Bogor,331,495,5,4,2,1985,HGB,Sedang,-6.308508049727196,106.88197574528289,2950614302
Jakarta Barat,375,403,7,6,0,2006,SHM,Baru,-6.312213335638843,106.78122305824304,4174420779
Jakarta Pusat,474,587,5,4,3,1986,SHM,Bagus,-6.344035620283717,106.73150575598616,6608406095
Jakarta Selatan,179,285,5,4,3,2011,Girik,Sedang,-6.288767689351253,106.81098974842527,2915683318
Depok,554,683,6,6,3,1987,HGB,Bagus,-6.361884214709093,106.8917045569837,4172048775
Jakarta Selatan,80,163,2,2,2,2012,SHM,Baru,-6.3188017045211184,106.8827871178954,1314648879
Jakarta Utara,274,544,7,7,0,2023,HGB,Bagus,-6.170018532995291,106.80244516962098,3715447173
Bekasi,190,433,5,5,0,1994,SHM,Sedang,-6.158010573745189,106.8762516460266,1960706380
Jakarta Selatan,216,429,5,4,0,2006,SHM,Butuh Renovasi,-6.343536132830019,106.94039945458162,3975531656
Jakarta Utara,250,415,2,1,2,2009,HGB,Baru,-6.285844949306524,106.68841112714804,3153211231
Bogor,123,401,6,6,0,2001,SHM,Bagus,-6.144163078301982,106.82419873533769,1774346477
Bogor,291,349,7,7,1,2008,SHM,Bagus,-6.4315643338596065,106.92273767310938,2399046596
Tangerang,546,635,5,4,2,2020,HGB,Baru,-6.1387992633014745,106.85476623054828,4553152341
Jakarta Selatan,108,301,4,3,1,2009,SHM,Bagus,-6.373285479021684,106.8884723481373,2567003542
Depok,214,336,6,6,1,1981,SHM,Baru,-6.212511264524968,106.84533644563372,2095757873
Jakarta Selatan,247,382,7,7,3,1994,SHM,Bagus,-6.24610690626539,106.99739985429834,4218754243
Depok,269,407,5,5,2,2006,HGB,Sedang,-6.256470738133761,106.6974788916765,2351437658
Jakarta Timur,500,728,5,5,0,1986,HGB,Bagus,-6.149223921336512,106.83713434296716,5546768155
Tangerang,258,531,2,1,1,2006,SHM,Butuh Renovasi,-6.414449749724369,106.70925329571665,2566931015
Jakarta Timur,299,348,7,6,2,2000,SHM,Bagus,-6.328540191136027,106.73113137987635,3340946391
Jakarta Selatan,242,359,4,3,0,1992,HGB,Bagus,-6.261611538779332,106.80257227213384,3685525236
Tangerang,401,602,6,6,3,1996,HGB,Bagus,-6.166048901118886,106.72977282928017,3931596379
Jakarta Timur,311,501,3,2,2,1990,SHM,Baru,-6.374244920805915,106.98837989310613,3340085438
Jakarta Barat,415,595,1,1,2,1989,SHM,Butuh Renovasi,-6.168974555519003,106.98297272855206,4780440162
Jakarta Selatan,344,421,4,4,2,2012,Girik,Sedang,-6.310126531127122,106.7875550867906,5029292074
Jakarta Timur,303,377,3,3,0,1993,SHM,Bagus,-6.383880150248206,106.88471926785206,3352464469
Jakarta Barat,99,393,4,4,1,2016,SHM,Sedang,-6.1843547458447805,106.85080106259001,2057460091
Jakarta Barat,385,665,7,7,1,1987,HGB,Butuh Renovasi,-6.418185384483908,106.94098783376505,5376307672
Bogor,529,549,3,3,2,2012,SHM,Baru,-6.269831419073595,106.88078259514143,3377137084
Jakarta Selatan,558,728,7,7,2,1986,SHM,Bagus,-6.427643475648339,106.68008078543699,8102304929
Jakarta Barat,133,147,3,2,0,2013,HGB,Baru,-6.325253750694774,106.92421580339511,1466425727
Bogor,106,316,4,3,3,1986,SHM,Sedang,-6.239623120347763,106.91899139881475,1350822475
Jakarta Timur,399,446,2,1,2,1986,SHM,Baru,-6.255359560479476,106.84311126578127,4282555063
Jakarta Utara,311,396,4,3,2,2020,SHM,Bagus,-6.308370603733366,106.96893407143457,3316394453
Jakarta Selatan,85,233,7,6,3,2015,HGB,Bagus,-6.29983320210976,106.97070278582093,2180566321
Tangerang,393,580,4,3,2,1986,HGB,Bagus,-6.370630656327232,106.84765173654542,3670297593
Depok,599,749,3,3,1,1999,SHM,Sedang,-6.290441094051564,106.8745562339829,4464812739
Depok,520,660,1,1,2,1997,HGB,Bagus,-6.1163608004977075,106.9988870630159,3911790505
Jakarta Timur,119,187,3,3,1,2022,SHM,Bagus,-6.152341478775673,106.77562247513966,1770160188
Jakarta Timur,331,590,5,4,0,2020,SHM,Butuh Renovasi,-6.39916849582328,106.78387751753968,4250536439
Jakarta Barat,271,279,4,3,0,1993,HGB,Bagus,-6.439576724437678,106.73848764885233,2745053449
Jakarta Selatan,91,211,6,6,1,2019,SHM,Baru,-6.123266490549179,106.96667742053052,1852146202
Depok,395,495,4,4,1,1993,Girik,Sedang,-6.265637587541738,106.91823628478377,3255039930
Depok,145,293,2,2,3,2000,HGB,Sedang,-6.261756761897742,106.71380571163849,1332328877
Jakarta Barat,227,372,7,7,1,2006,SHM,Bagus,-6.176748701502717,106.99416555238335,3034851486
Depok,128,370,6,6,1,2005,HGB,Baru,-6.3398588591450356,106.91390774661156,1768995329
Tangerang,95,335,3,2,2,2006,SHM,Sedang,-6.281332350907399,106.95216707507359,1472043225
Jakarta Selatan,74,116,2,1,3,2003,HGB,Sedang,-6.110967980398642,106.69540825253543,1521282638
